dates,details,scores,reviews
 9/16/2023 , Tess |  Age: 65-74 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 2.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post","Tried using and for a few days okay results and better sleep then upset stomach, burning mouth, nausea.
I guess it’s not for me."
 8/7/2023 , Dr.Shulgin |  Age: 35-44 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",Fantastic after a hard weekend rolling. Be kind to your brain after is been kind to you giving you all that pleasure.
 7/18/2023 , # Blessings |  Age: 55-64 |   On supplement for 2 to less than 5 years |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",It helps me get a restful sleep.
 7/18/2023 , dissatisfied |  Age: 13-18 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 2.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I have depression and I stumbled upon 5 HTP at a walgreens, claiming to help with mood problems. I took it and didn't feel that much better, though a noticable improvement. When it wore off, my depression got even worse than it was before. For three days after, I could barely function. Would not recommend, found much better results using St. John's Wort."
 6/21/2023 , 5 htp |  Age: 25-34 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","A patient who suffered from depression and tried everything possible,but nothing was as effective as taking 5 htp supplement. I was on antidepressants ,but when I csme off all the depressive symptoms came back. 
As soon as started taking it, I started feeling that my depressive thoughts were gone…. Personally I take 200 mg in the morning and 200 mg in the evening. This is what workd for me,however you could be fine with lower dose as well. Dr Janelle Sinclae suggests to take 3x50 mg or 100  also, three times if you feel that is not enough. 
Defenetly it will ease your life and thought.

You must give a chance. At the befinning it gave me some headaches but it went away,as well as a little sleepiness,but now I feel amazing and completely normal again.

Trust me, I am a person who was diagnozed with depression and got hospitalized with anxiet and depression, /psychosis….it was awful

I am hoping that it can help to some of you?? plus taking Rhodiola rosea is also amazing for anxiety attacks."
 4/21/2023 , Jim |  Age: 55-64 |   On supplement for 1 to 6 months |   ," Condition: Other , Overall rating 3.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post","100mg ONCE DAILY (not twice a day).  I was recommended to take twice a day but I had bad side effects.  

5-HTP speeds up your brain.  It makes your Calicum absorb easier into your brain cells.  Instead of typical 5-10% of Calicum soaking into your brain cells you can get more like 20% absorbed.  (the rest expelled via urine)

NOTE:  Calcium metabolism in your brain CREATES HEAT.  When I took 100mg twice a day the end result was a feeling that my head was on fire.  I could literally feel the hea,t, and ended up running cold water over my head in the shower- not pleasant!

However, once I started taking it just every other day all of the sudden I can THINK again.  The fog is cleared and all of the sudden my friends are surprised that I'm not lost in a fog.

USAGE WARNING:  Do not take more than recommended and really I would just take half until your brain gets used to it.  If you take with a good multi vitamin- just EVERY OTHER DAY hopefully you will have the good results that I am getting.

I now take with with Citicoline and L-Theanine and find very good mental / memory function, clear head and emotions, and Ashwagandha for sleep.

Overall would recommend- but start with 1/2 dose or you might be soaking your head in cold water!"
 2/15/2023 ,  Age: 65-74 |   On supplement for 1 to 6 months |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I am not depressed,but I crave sugar because of a seratonin deficiency.  
I really CRAVE it, especially in the afternoon and evening.  5htp makes those cravings entirely manageable.  It is miraculous.  If I forget to take my pill I end up getting into something (ice cream or worse).  When 
I take it I resist.  I love this stuff.
"
 12/30/2022 , Mummybunny |  Age: 45-54 |   On supplement for 1 to 6 months |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I worked with a specialist to find a solution for depression because I cannot take SSRIs. It works. But reading reviews I have to say - it’s natural of course it’s not FFA approved? Does FDA approve dried fruit, tea, dried milk?? No. Matural things existed long before big pharma came along!!

If your doctor gave you 5htp for melatonin, your doctor should be reported, they’re the problem not 5htp. 5htp can increase serotonin. If you take SSRIs or other pharmaceuticals you should ask a pharmacist ,or doctor to look up interactions. 

 Est advice - buy from reputable brands that have been around for a while. Don’t buy from obscure places and brands not known. "
 12/5/2022 ,  Age: 35-44 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 1.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post","First it did nothing, then it kept me awake and anxious for a few days. Did not like the headaches either. "
 11/30/2022 , No controlled! |      ," Condition: Other , Overall rating 2.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post","It is not good that it's not regulated/controlled! Very strong efekt in fey days of us as it is hormonal!  Worst is no government agency take care to explain the dosage in force of law In direct connection with sale.

 What is stupid people in government and this is not single example. Anyway we should be thankful we don't have an anarchy on the streets. 

 Conclusion be careful check your dosage Go slow and be patient."
 11/20/2022 , Stephon  |  Age: 35-44 |   On supplement for 1 to 6 months |   ," Condition: Other , Overall rating 4.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post","Being 100 percent honest because reviews for things like these are important. 
It’s been 2 months using HTP-5. When I first started I took 2 capsules every night for the first two weeks( for full effect like bottle mentions), then I changed it to every other night from then on. It works great. I don’t get extremely irritated for no reason anymore and my attitude is pleasant and not Just neutral. So focusing is easier now. IM early to bed early to rise but had trouble falling asleep. Now I’m earl,y to bed and Im asleep within the hour and I wake up with no mind fog!  BAD PART, for the first two weeks I noticed a little stomach pinching and I figured it was the HTP-5 like the side effects say that’s why I changed it to every other night. I don’t mind it though, I fix cars for a living so I feel worse “pinches” than that everyday. So every other night after a full dinner solves the stomach thing for me. "
 11/19/2022 ,  Age: 45-54 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 1.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I took this to try to help with high levels of stress and anxiety caused by work. In actual fact, all that happened was an increased amount of anxiety caused by the unholy amount of farts that this supplement  caused.  "
 10/27/2022 , Caffe_Cola |  Age: 35-44 |   On supplement for less than 1 month |   ," Condition: Obsessive-compulsive disorder (OCD) , Overall rating 1.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I took 100 mg of HTP and it develop Fibromyalgia syndrome chronically causing pain, stiffness, and tenderness of muscles, tendons, and joints without detectable inflammation within 24 hours after taking 2 tablets such a horrible."
