dates,details,scores,reviews
 10/6/2023 , Rebekah |  Age: 25-34 |   On supplement for 1 to 6 months |   ," Condition: Weight loss , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I’ve always have had a hard time losing weight. Then my aunt told me about the benefits of Berberine and I decided to try it. I have noticed the pounds just fall off! The only thing I’ve changed is eating less, as the supplement helps with appetite satiety. I’m taking gummies and they work wonderfully. Great taste, easy to use."
 9/25/2023 , Joy |  Age: 65-74 |   On supplement for 1 to less than 2 years |   ," Condition: Cardiovascular disease (CVD) , Overall rating 4.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I have been on Berberine for a year. Initially, had diarrhea for several days but this passed. Cholesterol down 25% and all other negative blood work markers down 15-30%.  Lost 28 lbs and did start eating much better eliminating all highly processed foods. Eat lots of fruits, nuts, veggies, chicken, fish and still some small amounts of red meats. Limit cheese intake and carbs. Walk and garden and move more. "
 8/19/2023 , A Brown |  Age: 75 or over |   On supplement for 2 to less than 5 years |   ," Condition: Other , Overall rating 4.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I started Dr. Whitaker’s Berberine 4 1/2 years ago with A1c of 7.0. My A1c this July test was 5.4. I take it according to bottle directions, 1 per meal 3 x per day, = 1500 mg. Now also my triglycerides 91, 113 total cholesterol. I watch my diet closely, only “good” carbs and exercise regularly to support the effects of this effective supplement. All this allowed me to stop that awful drug metformin. The book “Reversing Diabetes” is a great help in understanding what is happening to our bodies."
 8/18/2023 , Rufus |  Age: 45-54 |   On supplement for 6 months to less than 1 year |   ," Condition: High cholesterol , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",After 6 mos fasting glucose down 10 and cholesterol is all down by 15%. 
 8/6/2023 , Susan |  Age: 65-74 |     ," Condition: Weight loss , Overall rating 4.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",I’ve mostly had a very positive experience with Berberine especially in reducing appetite. But it seems it causes me depression. Disappointed I can’t use it. 
 8/3/2023 ,  Age: 35-44 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 2.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I took 1000mg per day for 7 days, felt good for the first few days but then experienced the worst diarrhea of my life for days. Still waiting for it to clear. If probe to loose stools I would be wary. "
 8/3/2023 , Deb |  Age: 65-74 |   On supplement for 6 months to less than 1 year |   ," Condition: Heart disease , Overall rating 4.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","Initially on berberine I experienced some mood dysphoria with some cognitive slowing and low energy that could only be associated with berberine. Stopped it and my mood improved. Restarted it again and mood dysphoria returned. This depression has experienced by a few others based on online comments. Went through some adaptation that really consisted of lower and slower dose increments. Brand and dosage of berberine I believe has to be taken into consideration and taking berberine during my meals, not 30 minutes before them.  One response by a reader addressed that berberine has high levels choline that can impact mood. However, I do believe adaptation is useful and my using berberine has been beneficial to my lipids and metabolic health: 1. A1C down from 6.7 to 5.5; 2. LDL radically down from 130 to 63; 3. Tot Chol from 221 to 132; 4. HDL from 71 to 53; 5. Triglycerides down from 101 to 77.  

I have at the same time engaged in walking 5 days a week gradually building from 4,000 steps to 7300 steps and this has aided the lab changes as well.
  I have increased fish consumption even more and quit taking fish oil because of the new finding of atrial fib risk with fish oil supplements. I have lost weight more easily and kept it off by diet and exercise along with a focus on three other factors addressed below.

Additional Berberine side effects I had: Only one time did I experience GI upset and that was the first day I started berberine and did so at the recommended dosage of 500 mg 2-3 times a day with meals. Way too fast and way to much. Reduced it to 200 mg once a day at my main meal and then increased that to 200 mg two times a day at each of my two meals. Still on that currently.

Now I more experience constipation but in my diet now I have to work to get good fiber as I eat less fruits, starches and bread; After meals I can become cold- this can be assoc. with hypoglycemia I believe from my readings. I am sensitive to medications so believe I just need to keep my berberine doses lower, spread them out, and pay attention to dosing based up my glucose level and symptoms. I also began a pro or pre biotic of sauer kraut that has helped reduce some of my side effects that I hope is improving my gut bacteria or biome health. Also, I tried taking berberine during their meal rather than 30 min before it and this works best for me also.  For those having difficulty I wonder if the quality or BRAND of the berberine being taken needs to be addressed as well as the actual amount. Rule for many new medications; Go low in dose and slowly increase the dose with many medications, even FDA approved medications. 
Note- Berberine has many interactions with many medications that can cause other medications to take longer to be broken down and build up in our body sometimes at too high of levels. I worked hard to check the interaction between it and all the other medications I take such as plavix, beta blocker, statin, etc.

I did join an organization called ConsumerLab.com that reviews various supplements from various companies and have used it to guide me in my choice of brand of Berberine and other supplements. No one is really overseeing these supplements so we have to use resources.  I do not buy anything with artificial ingredients and with sugar in it. 

I am on a quest to replace bad education about my health and diet with good information that is not western medicine or Big Pharma meds and not engineered foods with sugar or corn syrup in almost everything. 

I read and or listen to a podcast or video on U Tube about factors of good health and negative impact of sugar, fructose, trans fats; soft drinks, diet drinks, processed foods, most juices that cause spikes that are literally what causes the insulin spikes and then insulin resistance that occurs in us and leads to DM and heart disease. Instead I eat much fish, good healthy greens and veggies (i.e., such as broc, caul, brus sprts) and EVOO, trying intermittent fasting, beginning step"
 7/29/2023 , Kimberly |  Age: 65-74 |   On supplement for 1 to 6 months |   ," Condition: Weight loss , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","Started Berberine after a friend told me about it.
Diagnosed with Autoimmune and made a decision to change my diet to low carb Mediterranean for weight loss and to improve my lipid levels.
Well, I lost 1# a day for 20 days!!!
I stopped for a month and restarted to go for the next 20. Even with some refined carbs I’m still losing 2/2# a day! 
Pretty sure I have insulin resistance and this seems to be the answer. My goal is to lose all visceral fat ( cytokines are our worst enemy with autoimmune)., I’m so thankful for Berberine!"
 7/25/2023 , Trotter |  Age: 65-74 |   On supplement for 1 to 6 months |   ," Condition: Other , Overall rating 2.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","800 mg twice a day for 45 days (1600mg), it did ABSOLUTELY NOTHING but give me the trots..."
 7/18/2023 ,  Age: 35-44 |   On supplement for less than 1 month |   ," Condition: Obesity , Overall rating 4.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post",I have been on berberine for two weeks and have lost 3 pounds without changing anything diet wise or exercise wise.
 7/12/2023 , APegues2 |  Age: 55-64 |   On supplement for 1 to 6 months |   ," Condition: Other , Overall rating 3.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post","It Caused Constant Serious Diarrhea to the point I was afraid to leave the house… No Walks, Movies, restaurants etc… you get the idea. Once I stopped taking the Berberine the Diarrhea stopped. It really worked good at keeping my blood Sugar under control, it’s a shame I had that side effect. I tried different doses from 1200mg down to 250mg,it made no difference. "
 7/9/2023 ,  Age: 45-54 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 2.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post",I took a 500mg dose of berberine during my three meals for one day. I spent that night vomiting. I still have stomach issues and I am nauseous 2 days after I stopped taking it. I am hoping I will feel better soon.
 6/28/2023 , onenicelady |  Age: 65-74 |   On supplement for 1 to 6 months |   ," Condition: Weight loss , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I read up on different supplements and how they work.  I ran into a NIH research on Berberine and decided that I needed it right away when my cholesterol and A1c was high.  My doctor prescribed a drug that has serious side effects. The minute I read the side effects I decided no way.  Instead I went on my vitamin website and ordered Berberine.  It was recommended that you take 3 capsules a day.  I started in the morning.  For the past 8 years I had not shed one pound, I weighed 260.  Now in less, then six months of taking Berberine I have lost 30 lbs.  I dont exercise and I eat basically regular food.  I dont snack.  Yes the side effects were some loose bowel movements but that has tapered off.  I am going to continue taking Berberine.  My doctor has no clue about this.  I will seek another blood test soon to see the results.  I am sure she will be amazed and then after she sees the results I will tell her that I never took the prescription she ordered and took Berberine instead.  I am so happy that I am loosing weight, and I need to get that fat off my middle section once and for all.  I feel great.  I use Berberine HCL by vitacost"
 6/27/2023 , Pat |  Age: 65-74 |   On supplement for 6 months to less than 1 year |   ," Condition: High cholesterol , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","My primary care dr. asked if I'd be willing to try it for 3 months then get blood work done.  I did not change my diet which is overall good, no red meat, lots of fish & plant based food but there is a family history.  My cholesterol went from 203 to 185, quite a change.  I'm a believer but will be talking with her in Nov when I go back for my annual physical to talk about long term effects. You read lots of things on the internet."
 6/14/2023 , Berberine |  Age: 55-64 |   On supplement for less than 1 month |   ," Condition: Obesity , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","Taking this medicine along with Met Forman, and 14 mg of rebel sis has helped me lose weight and my blood sugar are reduced"
 6/14/2023 , JWC  |  Age: 19-24 |   On supplement for 1 to less than 2 years |   ," Condition: Polycystic ovary syndrome (PCOS) , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I have pcos and take Berberine alongside Ovasitol to help control my carbohydrate cravings due to insulin resistance.

I recently stopped taking Berberine as I had been taking continuously for over a year - I read that you should take a tolerance break sometimes. I’m still taking Ovasitol but oh my GOD I am starving (more craving carbs) and it has just shown me how amazing this supplement is for my pcos.

Will never be without again "
 6/11/2023 , Annie |  Age: 65-74 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","My blood pressure has leveled off to a perfect level, and even better, I have stopped having daily headaches. I have not yet lost any weight after a week, but going this many consecutive days with no headache is a 100% improvement in my quality of life. "
 6/8/2023 ,  Age: 35-44 |   On supplement for less than 1 month |   ," Condition: Weight loss , Overall rating 1.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",This supplement made me bloat at 1500mg. I also had tingling sensation on my hands and blurred vision. The ER says my blood sugar dropped because of this. Do not recommend. 
 5/24/2023 , Sarah |  Age: 55-64 |   On supplement for 1 to 6 months |   ," Condition: Other , Overall rating 2.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I took 500mg three times each day for pre-diabetes and weight loss, as per recommended dosage.
I can category state it did ABSOLUTELY NOTHING. I'd had checks before and 3 months after and no difference.
Lose weight the proper way and you SEE results. 
DON'T WASTE YOUR MONEY!"
 5/11/2023 , Cavegirl  |  Age: 45-54 |   On supplement for less than 1 month |   ," Condition: Weight loss , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I have only been taking Berberine for 2 weeks and I’m Finally seeing weight loss!! I haven’t been able to lose a pound for Years! Peri menopause is not my friend. I did incorporate the salt flush to make sure my big drainage pathway was clear before taking it. Berberine acts as a parasitic as well! I’ve read comments that they couldn’t handle the side effects, I believe it’s due to parasite die off symptoms, which I passed tons during the flush from taking this. Clear your drainage pathways! If ,it made you sick I believe that only means it was doing it’s job.. I get excited when I have detox symptoms. If you don’t kill parasites they will just hang out and eat all of the wonderful nutrients and herbs you feed yourself… all for nothing. 
But yes!!! Love this stuff!"
