dates,details,scores,reviews
 6/24/2022 , Deenice |  Age: 45-54 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","Used nebulizing colloidal silver method  when I had covid last yr, 2x's A day for two days and felt great, I just recently used it for bronchitis, symptoms were gone within 3 days."
 5/19/2022 , PaxxAid |      ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","My 8 mo old dog got Parvo within 1 days aggressive treatment giving her recommended does per body weight, 1 dose every 15 min then every hour for 4 hours by the 3rd does within that first hour her bloody diarreah changed and thickened which proved to be working. this morning she has energy and is feeling much better. I gave it to my 2 yr old who has bad allergies and ear infection and in 1 day it is gone! i will now research if humans can use this. "
 5/13/2022 , Terry |  Age: 45-54 |   On supplement for 5 to less than 10 years |   ," Condition: Other , Overall rating 4.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I was diagnosed with Ulcerative Colitis several years ago, doctor said it was uncurable disease, and that I would eventually need to have my colon cut off and replaced by a bag for excreting.   I had been bleeding internally for years, and  within 2 weeks, I completely cured myself with homemade colloidal silver, by inserting 2-4 ounces twice a day into my rectum.   Never bled again, fully normalized stool, and all inflamation gone.   Also had quite impressive results fighting dental infection; ,my dentist said not only he had never seen such an occurrence in his entire career, but he had never seen such a case even in litterature.   Ever since I discovered this, I have never been sick ever again."
 4/22/2022 , home processed |  Age: 65-74 |   On supplement for 5 to less than 10 years |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",True CS works fantastic in lower gut
 4/22/2022 , home made |  Age: 65-74 |   On supplement for 5 to less than 10 years |   ," Condition: Gastritis , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",Only true CS reduced and capped NOT IONIC silver which is not CS
 4/18/2022 , Kdj429 |  Age: 45-54 |   On supplement for 5 to less than 10 years |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I have used it to treat MSRA  abscess' as well as 3rd and 4tg degree burns both successfully in half the time or less than prescribed medication from my doctor's, combined with antibiotics for MSRA  to get overnight control and relief of most of the infection. I have been in wound care for 20 years. I have never seen anything else compare. It saved my life. I use both internally (drinking/ by mouth) as well as topically. Silver Water works
"
 4/4/2022 , techiegirl |  Age: 65-74 |   On supplement for 5 to less than 10 years |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",People need to get experience between IONIC and true Colloidal Silver...big different. I have used for years and never get sick.  I love CS and it's never antibiotic resistant. I make my own
 2/24/2022 , Naturelover |  Age: 35-44 |   On supplement for 10 years or more |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I have been using CS for over 15 years. I finally decided I needed to buy my own brewer as I got sick of spending the outrageous amount of money to buy it online. I have healed and cured MANY things over the last 15 years from the CS. That would include pink eye (over 5 times, I have 3 children), ear aches, wound healing, healed my candida overgrowth (that nothing else would clear for months and months, this was my first use of CS and how I discovered it was so amazing. It has also cleared up ma,ny viruses (including bronchitis). I recommend getting a nebulizer if you have either asthma, COPD, or any respiratory infections. Now that I make my own, I also clean with it and sanitize my fruits and veggies with it. Lastly, I have used it to kill black mold growing in my bathroom. SO many uses. It truly is a must-have. "
 2/9/2022 , JP |  Age: 25-34 |   On supplement for 1 to 6 months |   ," Condition: Wound healing , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I have had staph infections sense becoming diabetic at 13 . I  have tried alot of treatments and antibiotics . I don't know about the ingesting part but I have heard information to the contrary of this site from medical doctors. I have used the topical treatment on a staph infection that I recently had got. i just got this information about the topical version from a friend about a month ago. It works faster than any other treatment I have received. Even quicker than antibiotics. great product h,ighly advise if you have this condition to give it a try. speed can be crucial with these things because they tend to hurt very bad.It has also worked for a rash that I have that I think is either fungal in nature or it is psiorisis . I rarely have a flare up but I used it on that and it knocked it out quicker than anything I have attempted for that too. If i have any adverse reactions I will come back and edit this post."
 1/30/2022 , papageezer |  Age: 55-64 |   On supplement for 6 months to less than 1 year |   ," Condition: Wound healing , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","My 6 yo granddaughter and I both recently had bad tooth aches, she had two wiggling and hurting and I have an old root canal coming apart and causing great pain in jaw and ear.  We both have been gargling and then swallowing colloidal silver I make myself ( and test to 10-14ppm with tds meter) and the pain reduction is almost instant, with swelling and all infection related issues for me resolved very quickly.  I rinse my ear with it and earaches, even bug bites, clear up in hours.  Put on open ,wounds, it will stop any and all infections, I garden a lot and always had some active scratch with redness...  silver takes care of it all.  I have UARS, RADS, and COPD, and nubulizing 5ml of my colloidal silver clears my up faster than any rx over the past 30 years.  Peace."
