dates,details,scores,reviews
 5/17/2023 , Pattycakes |  Age: 75 or over |   On supplement for 1 to 6 months |   ," Condition: Other , Overall rating 1.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I replaced my fish oil with Krill Oil.  It does cause gas, but the main thing that was distressing was the
nauseating smell of rotten fish.  I tried 1 whole bottle and tried to take the second, but the gagging was hard to put up with.  I wrote to Native Path about it and they replied that the smell was normal.  I wonder why that is not mentioned in the ads for Krill Oil?  I have never read of that ""side effect"".  I am throwing the unused bottles away as it is just not worth the reaction I have t,o the smell.  Expensive lesson."
 4/3/2023 , SG |  Age: 65-74 |   On supplement for 1 to 6 months |   ," Condition: Other , Overall rating 3.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","My significant other and myself have been on a health kick. He heard that Krill oil was good for you and since I have heart issues, I would benefit more from it. The problem is that I also have stomach-bowel issues, aka: IBS/Diverticulitis. I found the Krill oil gave me cramps, pain and diarrhea. He doesn't have any problems so far."
 2/19/2023 , noyb |  Age: 55-64 |   On supplement for 1 to 6 months |   ," Condition: Dry eye , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I started taking krill oil for dry eye.  After just one month of taking 500mg/day NOW brand, I no longer have dry eye issues (or very minimal issues).  It has made a big difference for me.  Prior to taking it, I was putting drops in my eyes 2-3 times/day and I would have a burning pain in my eyes from time to time and they most always felt like I had particles of something in my eyes.  Those with dry eyes will know what I mean.  That's all gone now with taking krill oil! "
 11/29/2022 ,      ," Condition: Aging skin , Overall rating 2.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post",The size and hardness off the mega red 4in1 900 mil horse pill is dangerouse to take due to not being able to swallow it I even tried to poke one with a knife to get the oil out and I had a hard time even  doing that. The pill is like swallowing a rock. They need to make a softer gel cap. I had one stuck in my throat and well the oil leaked into my throat. I instanly threw up. Like I stated before the capsule is as hard as a rock. Becareful.
 10/6/2021 ,      ," Condition: Other , Overall rating 4.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",its good to take
 9/23/2021 , test11 |      ," Condition: Other , Overall rating 4.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",peterkings2014
 9/23/2021 , tttww |      ," Condition: Other , Overall rating 4.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",g mail
 7/27/2021 , Kim |  Age: 45-54 |   On supplement for 1 to 6 months |   ," Condition:  , Overall rating 2.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I’ve been taking Krill oil for only a month now.  Slowly I’ve been experiencing gas, bloat, acid reflux really bad now to the point where I can feel that awful burning in my throat and taste in my mouth.  I’ve never had constant acid reflux like I have now.  Going off the krill oil to see if I feel better. I will have to find another way to control my cholesterol. "
 7/11/2021 , Blessed. |  Age: 65-74 |   On supplement for 1 to 6 months |   ," Condition: Cardiovascular disease (CVD) , Overall rating 4.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I put a review on and forgot to say this about my wife. Three months on a high dose of krill oil in the morning and at night my wife's blood pressure was 107/80 pulse 60! I was laughing with happiness it was this low. Real krill oil is truly a gift from God. No medicine doctors prescribed could provide this reading without side effects.  Yea,I'm a believer.  Just make sure you look closely before you buy. Some slimy manufacturers put fish oil in the exact same bottle as krill oil. READ THE LABEL, FIRST.  Good luck and God Bless You."
 7/11/2021 , Blessed |  Age: 65-74 |   On supplement for 1 to 6 months |   ," Condition: Cardiovascular disease (CVD) , Overall rating 4.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post","My wife has profound heart disease.  95 percent blockages in several arteries. She is inoperable due to decades of untreated diabetes. Unfortunately,eight years ago she had a stroke and heart attack that really beat her down. Then ,due to us using sucralose sweetener (spenda) in all her beverages her stomach stopped digesting water. Then her HMO treated her dehydration by messing up her heart medicine ,which blinded her by making her cataracts eighty percent worse in three weeks and giving her a, dose of reglan that blew her brain to pieces.  Thankfully, I found the sucralose problem we stopped using it- it still took two months for her stomach to heal to accept plain water and we had to wait five months for the cataract surgery.  That cataract surgery saved her life. Still most of the heart blood medicines they gave her really effected her brain. This all happened over the last four years. We had some krill oil in the fridge and she was really heading into a bad place so I said lets try this.  The krill oil is simply a miracle. Her brain is coming back to life. Her sores on the front of her legs is getting much smaller. She still suffers greatly but the trend is heading in a positive direction. She takes a very large dose. Three 800 mg in the morning and three 800 mg at night. There is no stomach discomfort and the krill oil is miles more effective then fish oil. She's on lasix for water retention,krill oil which is saving her life and quality of life as well as magnesium picolenate.zinc picolinate,b vitamin supplements and cranberry pills( vitamin c) to fight urinary tract infections.  We are in the fight now. She's also maintains her diabetes will the proper shots too. Buy a quality krill oil and be sure its krill oil. Some of these slimy companies package fish oil in the exact same package.  Good luck to you and thanks to God for the miracle of real krill oil."
