dates,details,scores,reviews
 2/17/2017 ,  Age: 45-54 |     ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",I took 2x pills every evening for 4 days to help me adapt to a 6 hrs time difference 
 2/4/2017 , frannie |  Age: 65-74 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",i was placed on alprazalam following the death of my husband 4 years ago-i did not realize how addicting a drug it was-i finally was able to get off it by tapering myself slowly over a 5 week period-i am a retired rn-but now have insomnia--my doctor suggested melatonin 5 mgm or 10 mgm--five works fine-i can finally sleep
 1/28/2017 , Anthony08 |  Age: 7-12 |   On supplement for 2 to less than 5 years |   ," Condition: Other , Overall rating 3.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",
 1/28/2017 , Adrianna16 |  Age: 7-12 |   On supplement for 2 to less than 5 years |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",
 11/24/2016 , Kay |  Age: 65-74 |   On supplement for 2 to less than 5 years |   ," Condition: Other , Overall rating 4.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",In a few short words: NIGHTMARES. I and several people I've talked with get Very Disturbing dream. 
 11/22/2016 , Dic |  Age: 75 or over |   On supplement for 1 to 6 months |   ," Condition:  , Overall rating 3.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",Satisfied
 10/13/2016 , Billy Conway |  Age: 65-74 |   On supplement for 6 months to less than 1 year |   ," Condition:  , Overall rating 4.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","very effective when i use it. i feel it is safer to use melatonin than prescription sleep aids. i don't know if there any side effective with long time use, but so far i have not experienced any. I can't find product name. it is Natrol desulable and i take three 5mg when needed. "
 9/10/2016 ,  Age: 55-64 |   On supplement for less than 1 month |   ," Condition: Sleep , Overall rating 3.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",I had very horrible & very weird dreams while taking this.
 8/4/2016 , m00s3 |  Age: 65-74 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 3.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post",Somewhat effective.  Has an after wake up feeling of unfresh 
 6/3/2016 , lilith60 |  Age: 55-64 |   On supplement for less than 1 month |   ," Condition:  , Overall rating 4.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",My days and nights are confused. I have developed severe insomnia and have a terrible time trying to get to sleep and once I get to sleep I wake easily. Not more than 4-5 hrs a night. Just started treatment and need increases to get desired effect.
