dates,details,scores,reviews
 6/14/2023 , Goonie |  Age: 35-44 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 3.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post","Took this for a variety of reasons, notably to improve mood and mental energy during my luteal phase (I get depressed, anxious, and have worse adhd). Tried just 100mg of a high-quality brand (pure encapsulations) several times and did enjoy some subtle mental benefits, like clearer thinking and improved focus (less mental chatter/racing thoughts). 

However I got headaches and temple tension on the days I took it and wasn’t able to continue taking it, unfortunately."
 6/11/2023 , John |  Age: 45-54 |   On supplement for less than 1 month |   ," Condition: Fatigue , Overall rating 4.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post",The effect o intelectual performance was very good inded. But unfortunaltely the Rheumatoid Arthritis appeared after only one week! 
 5/11/2023 , Tee |  Age: 45-54 |     ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","After taking 150mg daily antidepressants for 28 years I very slowly very cautiously started withdrawing my dose. I started taking RR along side the reduced dose and am delighted to report I’m completely antidepressant free. I can’t recommend RR enough, it’s been a complete game changer and have had a very smooth transition throughout the withdrawal process. I can’t believe just how much better I feel. Chronic constipation I had most of my life has disappeared and I’m no longer sailing through li,fe like a drugged up passenger. A very easy 5 stars"
 3/13/2023 , Andy |  Age: 75 or over |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 4.7 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I had been taking Nutrient Rescue for over 2 months and still had no energy and a big cloud over my head, was 1/2 asleep all day, no motivation and no energy.   Have been taking R. Rosea for 2 weeks and altho not 100% back to my energetic self, I am a good 80% and it's wonderful to have some energy and not feel 1/2 asleep all the time.   I really believe when I continue taking this product I will be back to my 100%  or near enough."
 2/10/2023 , Leeanne  |  Age: 45-54 |   On supplement for 1 to 6 months |   ," Condition: Fatigue , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I'm a 50 year old RN. I have several chronic auto immune disorders, and after I contracted COVID, I was so fatigued, it was so difficult to function at work. I was exhausted when I got up and literally useless by 2:00pm. I heard about this for long COVID fatigue and decided to try. I cant recommend enough! I have the propensity to become anxious with stimulants but this has no side effects like that for me. I have enough energy to get through the day. (I also take more in the afternoon) and able, to go home and do laundry and clean in the evening. I also suggested it to a co-worker that has benefitted from it, for her fatigue as well. "
 11/24/2022 , Jason |  Age: 25-34 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 4.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I have tried a few other herbs/medications for anxiety, and none had the instant effect I got from Rhodiola. It seems to be relatively unknown, my keyboard spellchecker does not even recognise it...

I have been taking for 1 month, it give me a real boost within the hour of taking it, and generally lasts well into the evening. If I don't take it before lunch time, I will have trouble sleeping. Sometimes, it is that powerful I even get jitters unfortunately, so it can be a double edged sword. But, I have never taken a supplement that had such an instant effect, and the boost you can helps lift my mood also.

I will use this herb as long as I notice effects. "
 2/5/2022 , Vitacost |  Age: 55-64 |   On supplement for 1 to 6 months |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","Have taken two medications prescribed by my doctor, one (Inderal) caused serve stomach cramps & intestinal distress, the other (Buspirione) caused cramps in hands, feet, & tendons.  Turning to e Rhodiola (700mg Vitacost) is a lifesaver, and took two in the morning, I've been relieved from my anxiety(1.5 yr) also, my energy, mood and attention have all benefited I tend to have ADD and have battled depression in the past.  Of course, more exercise, the best medicine of all is needed, but this is g,reat!!!"
 1/17/2022 , Vitacost |  Age: 55-64 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","After suffering from anxiety since November 2020, after one year it worsened and was prescribed Buspar, it worked beautifully for a time, until severe cramping occurred, it is listed as a rare symptom.  Was prescribed propranolol, took one 40 mg dose, that eliminated my anxiety and gave me stomach cramps & diarrhea both near debilitating,  I happened to have some Rhodiola, took two capsules =  700mg (Vitacost brand) and within 20 minutes my anxiety was gone, I felt like my normal self and will c,ontinue taking, perhaps at a lower dose (1 capsule 2x a day).  THIS IS A LIFESAVER, I am so grateful that this worked and have not experienced any negative side effects."
 9/30/2021 ,  Age: 55-64 |   On supplement for 2 to less than 5 years |   ," Condition: Fatigue , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","When I get sleepy in the afternoon, I will take some Rhodiola and feel so much more alert. I don't get jitters as I might with caffeine and I only take it occasionally. "
 9/16/2021 ,  Age: 25-34 |   On supplement for 1 to 6 months |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I have been on different medications for anxiety,  Schizophrenia and ADHD for several years. My mother suggested trying Rhodiola and I am very glad that I did. I do not need to take, Xanax like I  use to (continuing to reduce) and it has helped my sleeping pattern as well as my mood. I have not had any side effects."
