dates,details,scores,reviews
 11/8/2022 , Teri |  Age: 55-64 |   On supplement for 2 to less than 5 years |   ," Condition: Cancer , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","Along with my initial diagnosis of stage llla nslc, my blood work showed ny Vit. D level defiicient (28) 30-100 is normal. My oncologist prescribed 50k units of Vit. D2 once a week and 5k-10k Vit. D3 daily. I did my research on Vit. D2&3. Vit. D2 is synthetic. I stopped taking it and upped my daily intake of Vit. D3 to 10k daily. Vit. D is best taken before noon (think sunlight!) and with a meal that includes fat, for absorption as Vit. D is a fat soluble vitamin. It’s also more bioavailable tak,en with Vit. A, B, folic acid and magnesium. At my six month visit Vit. D level was up to 48! Continuing that same course, the next six month check it was up to 58. My oncologist was elated! She said if I keep up this level of Vit. D, I will not have any respiratory issues! "
 10/15/2022 , K.R. |  Age: 55-64 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I was sick all Summer with Vertigo, so I never went out in the Sun, I was on high doses of Antihistimene , that was not helping much, after a week or 2 taking Vitamin D and doing the head exercises, my veritgo was under control. Now I still take vit. D everyday and have not had an episode in weeks, Thanks WebMD,  for my life back.   K.R."
 7/15/2022 , sunflower88 |  Age: 25-34 |   On supplement for 1 to 6 months |   ," Condition: Corticosteroid-induced osteoporosis , Overall rating 2.3 ,Effectiveness,Ease of Use,Satisfaction,Report this post","I actually took the 50,000IU prescription Vit D, so please ignore product description because it won't let me select the correct one on the phone.  I was prescribed a 12 week regimen of it and was supposed to return to 2000IU (my original dosage) afterwards pending blood work. I had almost every side effect under the sun (no pun intended). GI upset sans vomiting (thankfully), shakiness, increased insomnia, breakouts around my mouth, then it progressed as weeks went on to scratchy throat, itchy/w,atery eyes, sneezing, and a full blown rash all down my neck. 
Finally after 8 weeks, my doctor took me off of the regimen because both her and another doctor believed that I was actually experiencing an allergic reaction to the high dosage bc I have other issues, including gastric dysmotility that could have been making this already too high dose build up even more in my body and she said I might also be allergic to something the manufacturer uses to produce the pill. I am hoping the 8 weeks I did take of the pills helped bring my levels up, but guess we shall see. I started using it because high dose steroids due to ITP weakened my bones and teeth so much 3 molars cracked and one broke, so they checked my vit D and found the deficiency. "
 3/7/2022 ,  Age: 19-24 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 2.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","Had recent blood work done everything was okay except my vitamin d was extremely low, I work nights so I barely get any sun especially in the state of Texas (home of the four seasons every week). My doctor prescribed me a high dosage of Vitamin D 50000 weekly for exactly three months. Within just this first month I have began to experience symptoms like nausea, dry mouth, confusion, lethargy and so on. Is this normal? Will be following up with my PCP soon to find out why I am experiencing these ,symptoms. I am also dealing with GERD so it’s been one heck of a ride. Hoping everyone finds a solution."
 8/19/2021 , Rob's Question |  Age: 55-64 |   On supplement for 1 to 6 months |   ," Condition: Other , Overall rating 4.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","This is for Rob and anyone else who doesn't know about the D Vitamins.    D3 is the one you want to purchase and use, over D2. Our bodies convert D2 to D3. So, just get the D3, and you will have better results."
 8/19/2021 , FloridaGirl |  Age: 45-54 |   On supplement for 10 years or more |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","First of all, I am extremely alarmed to see 50,000 I.U. (or 1.25mg) of Vitamin D, being prescribed to patients, by doctors! THIS prescribed AMOUNT OF Vitamin D, IS WAY TOO MUCH!   By the way, the majority of doctors have the equivalent of a one half hour course, in nutritional education, IF THAT, included in their schooling.   Food is medicine.   Having said this, I will proceed with my personal experience, and knowledge, about Vit.D.  I take Vit.D because, it is SO IMPORTANT for our overall hea,lth. I am 53 years old, and take a heart medicine, (called Atenolol,) which does not allow me to go out in the Sun. So, I have to take a Vit.D supplement. I take 400 I.U. (or 10mcg) of D3, everyday.   (600 I.U. is the RDA, or the Recommended Daily Allowance, for people over the age of 70.)  Vit.D is EXTREMELY IMPORTANT to the normal functioning of our bodies, and plays a large part in keeping us Cancer-free, as well.   Our bodies, continuously, scan through EVERY CELL in our entire body. When this scanning mechanism encounters a cell with a ""bite out of it,"" (due to exposure to radiation, through x-rays, etc.,) or other mutation, it replicates this abnormal cell, and this is one of the ways Cancer occurs.  Vit.D keeps this from happening. That's why it is SO important.   When we have healthy Vit.D levels, the mechanism that scans each and every cell, can recognize the mutated cell, or the cell with ""the bite out of it's DNA,"" that is faulty, and NOT replicate it.  It, instead, discards the cell from our body, and we stay healthy.    15 minutes of DAILY sunshine is, generally, enough for Caucasians to get the amount of needed Vit.D. African Americans, and those with more pigment in their skin, need a few more minutes, (if sunlight is allowed.)  In addition to this, scientists have recently learned that, Vit.D (in larger doses, and over an extended period of time,) is extremely beneficial, in fighting the COVID-19 coronavirus, in it's early stages.   Vit.D is essential for normal growth and development.  It promotes the use of calcium and phosphorus in the formation of our bones and teeth. It is especially needed for infants, children, and women, during pregnancy, and lactation.   In mild cases, results of lack or deficiency of Vit.D, are the interference with utilization of calcium and phosphorus in bone and teeth formation.  Irritability, and weakness are also results of a lack, or deficiency, of Vit.D.  Severe deficiency leads to rickets.  Valuable sources of Vit.D, are Sunlight and Fish-liver oil. Low concentrations are found in egg yolk, cream and butter.  Milk may be enriched with it, (but, 1 quart of whole milk, fortified with V.itamin D, only equals 400 I.U.) Ultraviolet rays from special lamps, acting on the skin, are another way to get Vit.D.  Lesser, or trace, amounts can be found in (fortified) yeast and sea vegetables (Nori, Dulse, etc.)  Natural food sources of Vitamin D are meager.    If one chooses to use Fish Oil, keep it under refrigeration, as that is where it is stable.   We store Vit.D. in our liver.   Again, the Recommended Daily Allowance is 400 I.U. until the age of 70 years old.  Then, the (RDA) Recommended Daily Allowance, goes up to 600 I.U.   I am a Vegetarian.   So, additionally, I take B12, along with my Vit.D, DAILY.   I, also, eat Iron, DAILY, as well, through Natural, Organic, Whole Food Sources, like:  Egg Yolk, Beans, Oatmeal, Raisins, Apricots, Peaches, Prunes, Molasses, Peas, Green Leafy Vegetables, Almonds and Soy Beans.   ~Note:  If you take a Calcium - Magnesium Complex:    Calcium (1,000mg.) - Magnesium (500mg.)  *We can ONLY absorb 600mg. of Calcium, at a time.  So, eat your supplement (of 600mg. Calcium) in the morning, AND at night.  "
 7/13/2021 , Sher |  Age: 65-74 |   On supplement for 5 to less than 10 years |   ," Condition: Fibromyalgia , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",I take 2000 per day of D3. My doctor approved it. We don't get enough sunshine and Cut D3 is excellent for anyone who is has low D3. Have doctor do lab work first. It also helps to keep Covid away with small amount of zinc. Haven't had a cold in years. D3 helps.
 7/6/2021 , vikas |  Age: 19-24 |   On supplement for 1 to 6 months |   ," Condition:  , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",Such a helpful information.  Thanks shorturl.at/vFOPY 
 2/19/2021 ,  Age: 25-34 |   On supplement for 1 to 6 months |   ," Condition: Other , Overall rating 5.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post",Years with persistent headache caused by Vitamin D deficiency. Relief 2 weeks after starting Vitamin D supplements. 
 7/18/2020 , mady |  Age: 55-64 |   On supplement for less than 1 month |   ," Condition: Other , Overall rating 1.0 ,Effectiveness,Ease of Use,Satisfaction,Report this post","not sure yet didn't take it ,i would like ask susan how the 400 iu of vit d is working for you...i saw my dr told him my concern about 50,000 he told me that he had no complaints about it with his other patients but he told me i can try vit d 400 units otc now i'm not sure what that means ,i'm hoping he didn't misunderstand me and means take it with 50,000 ,well i'm not sure how or what brand buy 400 units,if anyone know's about it can they please let me know thank you so much this driving me cr,azy already ...mady "
